dteday,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-03-01,1,18,False,1,1,0.24,0.2576,0.32,0.1045,9,148,157
2011-03-01,1,19,False,1,1,0.2,0.2576,0.47,0.0,8,102,110
2011-03-01,1,20,False,1,1,0.2,0.21195783619817998,0.47,0.1045,3,49,52
2011-03-01,1,21,False,1,1,0.18,0.197,0.64,0.1343,3,49,52
2011-03-01,1,22,False,1,1,0.14,0.1515,0.69,0.1343,0,20,20
2011-03-01,1,23,False,1,1,0.18,0.2121,0.55,0.1045,1,11,12
2011-04-01,1,0,False,2,1,0.16,0.21195783619817998,0.55,0.1045,0,5,5
2011-04-01,1,1,False,2,1,0.16,0.1818,0.59,0.1045,0,2,2
2011-04-01,1,2,False,2,1,0.14,0.1515,0.63,0.1343,0,1,1
2011-04-01,1,4,False,2,1,0.14,0.1818,0.63,0.0896,0,2,2
2011-04-01,1,5,False,2,1,0.12,0.1515,0.68,0.1045,0,4,4
2011-04-01,1,6,False,2,1,0.12,0.1515,0.74,0.1045,0,36,36
2011-04-01,1,7,False,2,1,0.12,0.1515,0.74,0.1343,2,92,94
2011-04-01,1,8,False,2,1,0.14,0.1515,0.69,0.1642,2,177,179
2011-04-01,1,9,False,2,1,0.16,0.1515,0.64,0.2239,2,98,100
2011-04-01,1,10,False,2,2,0.16,0.1364,0.69,0.3284,5,37,42
2011-04-01,1,11,False,2,1,0.22,0.2121,0.51,0.2985,7,50,57
2011-04-01,1,12,False,2,1,0.22,0.2273,0.51,0.1642,12,66,78
2011-04-01,1,13,False,2,1,0.24,0.2273,0.56,0.194,18,79,97
2011-04-01,1,14,False,2,1,0.26,0.2576,0.52,0.2239,9,54,63
2011-04-01,1,15,False,2,1,0.28,0.2727,0.52,0.2537,17,48,65
2011-04-01,1,16,False,2,1,0.3,0.2879,0.49,0.2537,15,68,83
2011-04-01,1,17,False,2,1,0.28,0.2727,0.48,0.2239,10,202,212
2011-04-01,1,18,False,2,1,0.26,0.2576,0.48,0.194,3,179,182
2011-04-01,1,19,False,2,1,0.24,0.2576,0.48,0.1045,2,110,112
2011-04-01,1,20,False,2,1,0.24,0.2576,0.48,0.1045,1,53,54
2011-04-01,1,21,False,2,1,0.22,0.2727,0.64,0.0,0,48,48
2011-04-01,1,22,False,2,1,0.22,0.2576,0.64,0.0896,1,34,35
2011-04-01,1,23,False,2,1,0.2,0.2273,0.69,0.0896,2,9,11
2011-05-01,1,0,False,3,1,0.2,0.2576,0.64,0.0,0,6,6
2011-05-01,1,1,False,3,1,0.16,0.197,0.74,0.0896,0,6,6
2011-05-01,1,2,False,3,1,0.16,0.197,0.74,0.0896,0,2,2
2011-05-01,1,4,False,3,1,0.24,0.2273,0.48,0.2239,0,2,2
2011-05-01,1,5,False,3,1,0.22,0.2273,0.47,0.1642,0,3,3
2011-05-01,1,6,False,3,1,0.2,0.197,0.47,0.2239,0,33,33
2011-05-01,1,7,False,3,1,0.18,0.1818,0.43,0.194,1,87,88
2011-05-01,1,8,False,3,1,0.2,0.1818,0.4,0.2985,3,192,195
2011-05-01,1,9,False,3,1,0.22,0.197,0.37,0.3284,6,109,115
2011-05-01,1,10,False,3,1,0.22,0.197,0.37,0.3284,4,53,57
2011-05-01,1,11,False,3,1,0.26,0.2273,0.33,0.3284,12,34,46
2011-05-01,1,12,False,3,1,0.26,0.2273,0.33,0.3284,5,74,79
2011-05-01,1,13,False,3,1,0.28,0.2576,0.3,0.2985,6,65,71
2011-05-01,1,14,False,3,1,0.3,0.2879,0.28,0.194,10,52,62
2011-05-01,1,15,False,3,1,0.3,0.2879,0.28,0.194,7,55,62
2011-05-01,1,16,False,3,1,0.3,0.3182,0.28,0.0896,4,85,89
2011-05-01,1,17,False,3,1,0.24,0.2273,0.38,0.194,4,186,190
2011-05-01,1,18,False,3,1,0.24,0.2424,0.38,0.1343,3,166,169
2011-05-01,1,19,False,3,1,0.24,0.2576,0.38,0.1045,5,127,132
2011-05-01,1,20,False,3,1,0.22,0.2273,0.47,0.1642,7,82,89
2011-05-01,1,21,False,3,1,0.2,0.197,0.51,0.194,3,40,43
2011-05-01,1,22,False,3,1,0.18,0.197,0.55,0.1343,1,41,42
2011-05-01,1,23,False,3,1,0.2,0.2576,0.47,0.0,1,18,19
2011-06-01,1,0,False,4,1,0.18,0.2424,0.55,0.0,0,11,11
2011-06-01,1,1,False,4,1,0.16,0.2273,0.64,0.0,0,4,4
2011-06-01,1,2,False,4,1,0.16,0.2273,0.64,0.0,0,2,2
2011-06-01,1,4,False,4,2,0.16,0.197,0.64,0.0896,0,1,1
2011-06-01,1,5,False,4,2,0.14,0.1818,0.69,0.0896,0,4,4
2011-06-01,1,6,False,4,2,0.14,0.1667,0.63,0.1045,0,36,36
2011-06-01,1,7,False,4,2,0.16,0.2273,0.59,0.0,0,95,95
2011-06-01,1,8,False,4,1,0.16,0.2273,0.59,0.0,3,216,219
2011-06-01,1,9,False,4,2,0.18,0.2424,0.51,0.0,6,116,122
2011-06-01,1,10,False,4,1,0.2,0.2576,0.47,0.0,3,42,45
2011-06-01,1,11,False,4,1,0.22,0.2576,0.44,0.0896,2,57,59
2011-06-01,1,12,False,4,1,0.26,0.2879,0.35,0.0,6,78,84
2011-06-01,1,13,False,4,1,0.26,0.2727,0.35,0.1045,12,55,67
2011-06-01,1,14,False,4,1,0.28,0.2727,0.36,0.1642,11,59,70
2011-06-01,1,15,False,4,1,0.28,0.2727,0.36,0.0,8,54,62
2011-06-01,1,16,False,4,1,0.26,0.2576,0.38,0.1642,12,74,86
2011-06-01,1,17,False,4,1,0.22,0.2273,0.51,0.1642,9,163,172
2011-06-01,1,18,False,4,1,0.22,0.2273,0.51,0.1343,5,158,163
2011-06-01,1,19,False,4,1,0.22,0.2576,0.55,0.0896,3,109,112
2011-06-01,1,20,False,4,1,0.2,0.2121,0.51,0.1642,3,66,69
2011-06-01,1,21,False,4,2,0.22,0.2121,0.55,0.2239,0,48,48
2011-06-01,1,22,False,4,2,0.22,0.2121,0.51,0.2836,1,51,52
2011-06-01,1,23,False,4,2,0.2,0.197,0.59,0.194,4,19,23
2011-07-01,1,0,False,5,2,0.2,0.197,0.64,0.194,4,13,17
2011-07-01,1,1,False,5,2,0.2,0.197,0.69,0.2239,2,5,7
2011-07-01,1,2,False,5,2,0.2,0.197,0.69,0.2239,0,1,1
2011-07-01,1,4,False,5,2,0.2,0.2121,0.69,0.1343,0,1,1
2011-07-01,1,5,False,5,3,0.22,0.2727,0.55,0.0,0,5,5
2011-07-01,1,6,False,5,2,0.2,0.2576,0.69,0.0,8,26,34
2011-07-01,1,7,False,5,1,0.2,0.2121,0.69,0.1343,8,76,84
2011-07-01,1,8,False,5,1,0.2,0.197,0.51,0.2537,20,190,210
2011-07-01,1,9,False,5,1,0.2,0.1818,0.47,0.2985,9,125,134
2011-07-01,1,10,False,5,1,0.22,0.197,0.37,0.3284,16,47,63
2011-07-01,1,11,False,5,2,0.2,0.197,0.4,0.2239,19,48,67
2011-07-01,1,12,False,5,2,0.2,0.197,0.37,0.2537,9,50,59
2011-07-01,1,13,False,5,2,0.2,0.1818,0.37,0.2836,9,64,73
2011-07-01,1,14,False,5,2,0.2,0.197,0.4,0.2537,7,43,50
2011-07-01,1,15,False,5,2,0.2,0.2121,0.37,0.1642,9,63,72
2011-07-01,1,16,False,5,2,0.2,0.2121,0.37,0.1642,5,82,87
2011-07-01,1,17,False,5,2,0.2,0.2576,0.37,0.0,9,178,187
2011-07-01,1,18,False,5,1,0.2,0.2273,0.4,0.0896,7,116,123
2011-07-01,1,19,False,5,1,0.16,0.197,0.55,0.0896,3,92,95
2011-07-01,1,20,False,5,1,0.18,0.2121,0.47,0.1045,1,50,51
2011-07-01,1,21,False,5,1,0.18,0.197,0.47,0.1343,0,39,39
2011-07-01,1,22,False,5,2,0.18,0.197,0.43,0.1642,2,34,36
2011-07-01,1,23,False,5,2,0.18,0.197,0.51,0.1642,1,14,15
2011-08-01,1,0,False,6,2,0.18,0.197,0.51,0.1642,1,24,25
2011-08-01,1,1,False,6,2,0.18,0.2121,0.55,0.0896,1,15,16
2011-08-01,1,2,False,6,2,0.18,0.2424,0.55,0.0,3,13,16
2011-08-01,1,3,False,6,3,0.18,0.197,0.55,0.1642,0,7,7
2011-08-01,1,4,False,6,3,0.18,0.197,0.55,0.1642,0,1,1
2011-08-01,1,5,False,6,2,0.16,0.1667,0.74,0.1642,0,5,5
2011-08-01,1,6,False,6,2,0.16,0.1667,0.74,0.1642,0,2,2
2011-08-01,1,7,False,6,2,0.16,0.1818,0.74,0.1045,1,8,9
2011-08-01,1,8,False,6,3,0.16,0.1818,0.93,0.1045,0,15,15
2011-08-01,1,9,False,6,3,0.16,0.1818,0.93,0.1045,0,20,20
2011-08-01,1,10,False,6,2,0.18,0.197,0.8,0.1642,5,56,61
2011-08-01,1,11,False,6,2,0.2,0.1818,0.69,0.3881,2,60,62
2011-08-01,1,12,False,6,2,0.2,0.1818,0.59,0.3582,8,90,98
2011-08-01,1,13,False,6,1,0.2,0.1818,0.44,0.3284,7,95,102
2011-08-01,1,14,False,6,1,0.2,0.1667,0.32,0.4925,12,83,95
2011-08-01,1,15,False,6,1,0.2,0.1667,0.32,0.4478,5,69,74
2011-08-01,1,16,False,6,1,0.18,0.1364,0.29,0.4478,8,68,76
2011-08-01,1,17,False,6,1,0.16,0.1212,0.37,0.5522,5,64,69
2011-08-01,1,18,False,6,1,0.14,0.1212,0.39,0.2985,3,52,55
2011-08-01,1,19,False,6,1,0.14,0.1212,0.36,0.2537,4,26,30
2011-08-01,1,20,False,6,1,0.12,0.1212,0.36,0.2537,0,28,28
2011-08-01,1,21,False,6,1,0.12,0.1061,0.39,0.3582,2,35,37
2011-08-01,1,22,False,6,1,0.12,0.1061,0.36,0.3881,1,33,34
2011-08-01,1,23,False,6,1,0.1,0.0606,0.39,0.4478,0,22,22
2011-09-01,1,0,False,0,1,0.1,0.0758,0.42,0.3881,1,24,25
2011-09-01,1,1,False,0,1,0.1,0.0606,0.42,0.4627,0,12,12
2011-09-01,1,2,False,0,1,0.1,0.0606,0.46,0.4627,0,11,11
2011-09-01,1,3,False,0,1,0.1,0.0758,0.46,0.4179,0,4,4
2011-09-01,1,4,False,0,1,0.08,0.0909,0.53,0.194,0,1,1
2011-09-01,1,5,False,0,1,0.08,0.0909,0.53,0.194,0,1,1
2011-09-01,1,6,False,0,1,0.1,0.0909,0.49,0.2836,0,1,1
2011-09-01,1,7,False,0,1,0.08,0.0909,0.53,0.194,1,5,6
2011-09-01,1,8,False,0,1,0.1,0.0909,0.49,0.2836,0,10,10
2011-09-01,1,9,False,0,1,0.12,0.0758,0.46,0.5224,0,19,19
2011-09-01,1,10,False,0,1,0.14,0.1061,0.43,0.3881,0,49,49
2011-09-01,1,11,False,0,1,0.16,0.1212,0.4,0.5224,2,47,49
2011-09-01,1,12,False,0,1,0.18,0.1364,0.37,0.4478,4,79,83
2011-09-01,1,13,False,0,1,0.2,0.1667,0.34,0.4478,6,69,75
2011-09-01,1,14,False,0,1,0.22,0.1818,0.32,0.4627,8,64,72
2011-09-01,1,15,False,0,1,0.22,0.197,0.35,0.3582,5,77,82
2011-09-01,1,16,False,0,1,0.2,0.1667,0.34,0.4478,13,79,92
2011-09-01,1,17,False,0,1,0.18,0.1515,0.37,0.3881,3,59,62
2011-09-01,1,18,False,0,1,0.16,0.1364,0.4,0.3284,4,44,48
2011-09-01,1,19,False,0,1,0.16,0.1364,0.43,0.3284,1,40,41
2011-09-01,1,20,False,0,1,0.14,0.1212,0.46,0.2537,0,38,38
2011-09-01,1,21,False,0,1,0.14,0.1061,0.46,0.4179,1,19,20
2011-09-01,1,22,False,0,1,0.14,0.1212,0.46,0.2985,5,10,15
2011-09-01,1,23,False,0,1,0.12,0.1364,0.5,0.194,0,6,6
2011-10-01,1,0,False,1,1,0.12,0.1212,0.5,0.2836,2,3,5
2011-10-01,1,1,False,1,1,0.12,0.1212,0.5,0.2836,1,0,1
2011-10-01,1,2,False,1,1,0.12,0.1212,0.5,0.2239,0,3,3
2011-10-01,1,3,False,1,1,0.12,0.1212,0.5,0.2239,0,1,1
2011-10-01,1,4,False,1,1,0.1,0.1212,0.54,0.1343,1,2,3
2011-10-01,1,5,False,1,1,0.1,0.1061,0.54,0.2537,0,3,3
2011-10-01,1,6,False,1,1,0.12,0.1212,0.5,0.2836,0,31,31
2011-10-01,1,7,False,1,1,0.12,0.1212,0.5,0.2239,2,75,77
2011-10-01,1,8,False,1,2,0.12,0.1212,0.5,0.2836,4,184,188
2011-10-01,1,9,False,1,2,0.14,0.1212,0.5,0.2537,2,92,94
2011-10-01,1,10,False,1,2,0.14,0.1212,0.5,0.2985,0,31,31
2011-10-01,1,11,False,1,2,0.16,0.1364,0.47,0.2836,2,28,30
2011-10-01,1,12,False,1,2,0.2,0.1818,0.4,0.2836,5,47,52
2011-10-01,1,13,False,1,2,0.2,0.1818,0.4,0.2836,4,50,54
2011-10-01,1,14,False,1,2,0.2,0.197,0.4,0.2239,0,47,47
2011-10-01,1,15,False,1,2,0.2,0.197,0.4,0.2239,2,43,45
2011-10-01,1,16,False,1,1,0.2,0.2121,0.4,0.1343,4,70,74
2011-10-01,1,17,False,1,1,0.2,0.2273,0.4,0.1045,4,174,178
2011-10-01,1,18,False,1,1,0.2,0.197,0.4,0.2239,1,154,155
2011-10-01,1,19,False,1,1,0.16,0.1667,0.47,0.1642,3,92,95
2011-10-01,1,20,False,1,1,0.16,0.1667,0.5,0.1642,1,73,74
2011-10-01,1,21,False,1,1,0.14,0.1364,0.59,0.194,1,37,38
2011-10-01,1,22,False,1,1,0.14,0.1515,0.59,0.1642,2,22,24
2011-10-01,1,23,False,1,1,0.14,0.1515,0.59,0.1642,0,18,18
2011-11-01,1,0,False,2,1,0.14,0.1667,0.59,0.1045,2,10,12
2011-11-01,1,1,False,2,1,0.14,0.1515,0.59,0.1642,0,3,3
2011-11-01,1,2,False,2,2,0.16,0.1515,0.55,0.194,0,3,3
2011-11-01,1,5,False,2,2,0.16,0.1818,0.55,0.1343,0,6,6
2011-11-01,1,6,False,2,2,0.16,0.1818,0.55,0.1343,0,27,27
2011-11-01,1,7,False,2,2,0.16,0.2273,0.55,0.0,2,97,99
2011-11-01,1,8,False,2,2,0.18,0.2121,0.51,0.0896,3,214,217
2011-11-01,1,9,False,2,2,0.18,0.197,0.51,0.1642,3,127,130
2011-11-01,1,10,False,2,2,0.2,0.2121,0.51,0.1642,3,51,54
2011-11-01,1,11,False,2,2,0.2,0.2121,0.47,0.1343,4,31,35
2011-11-01,1,12,False,2,2,0.2,0.2273,0.51,0.1045,2,55,57
2011-11-01,1,13,False,2,2,0.2,0.2273,0.59,0.0896,6,46,52
2011-11-01,1,14,False,2,2,0.2,0.2273,0.59,0.0896,3,60,63
2011-11-01,1,15,False,2,2,0.16,0.197,0.8,0.0896,2,45,47
2011-11-01,1,16,False,2,2,0.16,0.1515,0.86,0.2239,4,72,76
2011-11-01,1,17,False,2,2,0.16,0.1515,0.86,0.2239,6,130,136
2011-11-01,1,18,False,2,3,0.16,0.1818,0.93,0.1045,1,94,95
2011-11-01,1,19,False,2,3,0.16,0.2273,0.93,0.0,0,51,51
2011-11-01,1,20,False,2,3,0.16,0.1515,0.93,0.194,0,32,32
2011-11-01,1,21,False,2,3,0.16,0.197,0.86,0.0896,0,20,20
2011-11-01,1,22,False,2,3,0.16,0.1818,0.93,0.1045,1,28,29
2011-11-01,1,23,False,2,3,0.16,0.197,0.93,0.0896,1,18,19
2011-12-01,1,0,False,3,2,0.16,0.197,0.86,0.0896,0,7,7
2011-12-01,1,1,False,3,2,0.16,0.1818,0.86,0.1045,0,6,6
2011-12-01,1,2,False,3,1,0.14,0.1515,0.86,0.1343,0,1,1
2011-12-01,1,5,False,3,1,0.14,0.1515,0.86,0.1642,0,5,5
2011-12-01,1,6,False,3,1,0.12,0.1515,0.93,0.1343,0,16,16
2011-12-01,1,7,False,3,1,0.14,0.1515,0.69,0.1343,0,54,54
2011-12-01,1,8,False,3,1,0.16,0.1667,0.59,0.1642,3,125,128
2011-12-01,1,9,False,3,1,0.16,0.1364,0.59,0.3284,3,78,81
2011-12-01,1,10,False,3,1,0.18,0.1818,0.55,0.2239,0,39,39
2011-12-01,1,11,False,3,1,0.2,0.1818,0.51,0.3881,3,32,35
2011-12-01,1,12,False,3,1,0.2,0.1515,0.47,0.5821,3,52,55
2011-12-01,1,13,False,3,1,0.22,0.197,0.44,0.3582,0,49,49
2011-12-01,1,14,False,3,1,0.2,0.1818,0.47,0.3284,0,44,44
2011-12-01,1,15,False,3,1,0.2,0.1667,0.47,0.4179,1,48,49
2011-12-01,1,16,False,3,1,0.22,0.197,0.44,0.3284,5,63,68
2011-12-01,1,17,False,3,1,0.2,0.1818,0.47,0.3582,0,139,139
2011-12-01,1,18,False,3,1,0.2,0.1515,0.47,0.5224,2,135,137
2011-12-01,1,19,False,3,1,0.18,0.1515,0.47,0.4179,1,82,83
2011-12-01,1,20,False,3,1,0.16,0.1364,0.5,0.3284,2,54,56
2011-12-01,1,21,False,3,1,0.16,0.1364,0.55,0.3284,0,57,57
2011-12-01,1,22,False,3,1,0.16,0.1212,0.55,0.4478,1,32,33
2011-12-01,1,23,False,3,1,0.14,0.1061,0.59,0.4179,1,19,20
2011-01-13,1,0,False,4,1,0.14,0.1212,0.59,0.2836,1,6,7
2011-01-13,1,1,False,4,1,0.14,0.1212,0.5,0.2836,0,2,2
2011-01-13,1,2,False,4,1,0.14,0.1212,0.5,0.3582,0,2,2
2011-01-13,1,3,False,4,1,0.14,0.1212,0.5,0.3284,0,3,3
2011-01-13,1,4,False,4,1,0.14,0.1212,0.5,0.2537,0,4,4
2011-01-13,1,5,False,4,1,0.14,0.1212,0.5,0.2985,0,3,3
2011-01-13,1,6,False,4,1,0.12,0.1515,0.54,0.1343,0,28,28
2011-01-13,1,7,False,4,1,0.12,0.1515,0.54,0.1343,0,72,72
2011-01-13,1,8,False,4,1,0.14,0.1364,0.5,0.194,5,197,202
2011-01-13,1,9,False,4,1,0.14,0.1212,0.5,0.3284,2,137,139
2011-01-13,1,10,False,4,2,0.16,0.1364,0.5,0.3582,2,36,38
2011-01-13,1,11,False,4,2,0.2,0.1667,0.44,0.4478,4,33,37
2011-01-13,1,12,False,4,1,0.2,0.1667,0.44,0.4179,3,49,52
2011-01-13,1,13,False,4,1,0.22,0.197,0.41,0.4478,2,81,83
2011-01-13,1,14,False,4,1,0.22,0.197,0.41,0.3881,3,39,42
2011-01-13,1,15,False,4,1,0.24,0.2121,0.38,0.2985,5,55,60
2011-01-13,1,16,False,4,1,0.24,0.2121,0.38,0.3582,2,76,78
2011-01-13,1,17,False,4,1,0.2,0.1818,0.4,0.2836,4,158,162
2011-01-13,1,18,False,4,1,0.2,0.1818,0.4,0.3284,3,141,144
2011-01-13,1,19,False,4,1,0.16,0.1515,0.47,0.2537,1,98,99
2011-01-13,1,20,False,4,1,0.16,0.1515,0.47,0.2239,0,64,64
2011-01-13,1,21,False,4,1,0.14,0.1212,0.46,0.2985,0,40,40
2011-01-13,1,22,False,4,1,0.14,0.1212,0.46,0.3284,0,30,30
2011-01-13,1,23,False,4,1,0.12,0.1364,0.5,0.194,1,14,15
2011-01-14,1,0,False,5,1,0.12,0.1364,0.5,0.194,0,14,14
2011-01-14,1,1,False,5,1,0.1,0.1212,0.54,0.1642,0,5,5
2011-01-14,1,2,False,5,1,0.1,0.1212,0.54,0.1343,0,1,1
2011-01-14,1,3,False,5,1,0.1,0.1364,0.54,0.1045,0,1,1
2011-01-14,1,5,False,5,1,0.1,0.1364,0.54,0.0896,0,8,8
2011-01-14,1,6,False,5,1,0.1,0.1818,0.54,0.0,0,17,17
2011-01-14,1,7,False,5,1,0.1,0.1212,0.74,0.1642,0,70,70
2011-01-14,1,8,False,5,1,0.12,0.1667,0.68,0.0,2,156,158
2011-01-14,1,9,False,5,1,0.14,0.1515,0.69,0.1343,0,117,117
2011-01-14,1,10,False,5,1,0.18,0.1818,0.55,0.194,4,40,44
2011-01-14,1,11,False,5,1,0.18,0.1667,0.51,0.2836,6,47,53
2011-01-14,1,12,False,5,1,0.2,0.197,0.44,0.2537,2,59,61
2011-01-14,1,13,False,5,1,0.22,0.197,0.37,0.3881,4,73,77
2011-01-14,1,14,False,5,1,0.22,0.2121,0.41,0.2836,5,59,64
2011-01-14,1,15,False,5,1,0.24,0.2424,0.38,0.1642,9,59,68
2011-01-14,1,16,False,5,1,0.22,0.2424,0.41,0.1045,3,87,90
2011-01-14,1,17,False,5,1,0.22,0.2273,0.41,0.1642,4,155,159
2011-01-14,1,18,False,5,1,0.2,0.2576,0.47,0.0,5,134,139
2011-01-14,1,19,False,5,1,0.16,0.197,0.59,0.0896,3,89,92
2011-01-14,1,20,False,5,1,0.18,0.2424,0.59,0.0,0,68,68
2011-01-14,1,21,False,5,1,0.16,0.2273,0.69,0.0,4,48,52
2011-01-14,1,22,False,5,2,0.16,0.2273,0.69,0.0,2,34,36
2011-01-14,1,23,False,5,2,0.18,0.2424,0.55,0.0,1,26,27
2011-01-15,1,0,False,6,1,0.18,0.2424,0.55,0.0,3,25,28
2011-01-15,1,1,False,6,2,0.16,0.197,0.59,0.0896,2,18,20
2011-01-15,1,2,False,6,2,0.16,0.197,0.59,0.0896,0,12,12
2011-01-15,1,3,False,6,2,0.16,0.2273,0.59,0.0,1,7,8
2011-01-15,1,4,False,6,2,0.16,0.2273,0.59,0.0,0,5,5
2011-01-15,1,5,False,6,1,0.16,0.2273,0.59,0.0,0,1,1
2011-01-15,1,6,False,6,1,0.14,0.1667,0.63,0.1045,1,2,3
2011-01-15,1,7,False,6,1,0.14,0.2121,0.63,0.0,1,9,10
2011-01-15,1,8,False,6,1,0.14,0.1515,0.63,0.1343,1,22,23
2011-01-15,1,9,False,6,1,0.16,0.1818,0.64,0.1343,2,31,33
2011-01-15,1,10,False,6,1,0.18,0.197,0.59,0.1642,2,57,59
2011-01-15,1,11,False,6,1,0.2,0.197,0.55,0.2239,18,54,72
2011-01-15,1,12,False,6,1,0.24,0.2273,0.48,0.2239,15,74,89
2011-01-15,1,13,False,6,1,0.28,0.2576,0.38,0.2985,21,80,101
2011-01-15,1,14,False,6,1,0.3,0.2879,0.39,0.2836,26,92,118
2011-01-15,1,15,False,6,2,0.32,0.3182,0.36,0.194,21,108,129
